Datetime,LandAverageTemperatureUncertainty,UpperBounds,LowerBounds,month,year,Average_Temperature
1782-03-01,2.221,4.7860000000000005,0.34399999999999986,3,1782,2.565
1782-04-01,2.154,10.771999999999998,6.463999999999999,4,1782,8.617999999999999
1782-05-01,1.474,12.464,9.515999999999998,5,1782,10.989999999999998
1782-06-01,1.517,15.317999999999998,12.284,6,1782,13.800999999999998
1782-07-01,2.96,16.885,10.965,7,1782,13.925
1782-09-01,1.7280000000000002,14.126,10.67,9,1782,12.398
1782-10-01,1.826,10.804,7.152,10,1782,8.978
1782-11-01,2.4730000000000003,7.428999999999999,2.483,11,1782,4.956
1782-12-01,3.358,5.279,-1.4369999999999998,12,1782,1.921
1783-02-01,3.683,8.977,1.6110000000000002,2,1783,5.2940000000000005
1783-03-01,2.597,7.396000000000001,2.2020000000000004,3,1783,4.7989999999999995
1783-04-01,1.564,10.138,7.01,4,1783,8.574
1783-05-01,2.906,14.725,8.913,5,1783,11.819
1783-06-01,1.541,15.880999999999998,12.799000000000001,6,1783,14.34
1783-07-01,1.3430000000000002,14.412,11.725999999999999,7,1783,13.069
1783-08-01,1.6130000000000002,15.583999999999998,12.358,8,1783,13.970999999999998
1783-09-01,1.439,11.396999999999998,8.518999999999998,9,1783,9.957999999999998
1783-10-01,2.6210000000000004,9.977999999999998,4.735999999999997,10,1783,7.356999999999997
1783-11-01,2.2,4.396000000000001,-0.0040000000000000036,11,1783,2.1959999999999997
1783-12-01,3.133,5.357,-0.9089999999999998,12,1783,2.224
1784-01-01,3.347,5.943,-0.7509999999999999,1,1784,2.596
1784-02-01,2.842,3.831,-1.8530000000000002,2,1784,0.989
1784-03-01,3.258,7.1770000000000005,0.6609999999999999,3,1784,3.9189999999999996
1784-04-01,1.272,9.414,6.870000000000001,4,1784,8.142000000000001
1784-05-01,1.538,11.550999999999998,8.475,5,1784,10.013
1784-06-01,1.8,14.603,11.002999999999998,6,1784,12.803
1784-07-01,1.803,16.75,13.144,7,1784,14.947
1784-09-01,1.068,11.333999999999998,9.198,9,1784,10.265999999999998
1784-10-01,1.68,8.516,5.156000000000001,10,1784,6.8359999999999985
1784-11-01,2.522,7.0790000000000015,2.0350000000000006,11,1784,4.5569999999999995
1784-12-01,3.343,6.757999999999999,0.07200000000000006,12,1784,3.415
1785-01-01,2.754,3.619,-1.889,1,1785,0.865
1785-02-01,2.408,3.4530000000000003,-1.3630000000000002,2,1785,1.045
1785-03-01,4.215,6.504,-1.926,3,1785,2.289
1785-04-01,1.45,7.829,4.9289999999999985,4,1785,6.379
1785-05-01,2.088,11.941,7.765,5,1785,9.853
1785-06-01,2.653,16.397000000000002,11.091,6,1785,13.744000000000002
1785-07-01,2.215,16.683,12.253,7,1785,14.468
1785-08-01,2.046,16.512,12.42,8,1785,14.466
1785-09-01,1.143,11.64,9.354,9,1785,10.497
1785-10-01,1.732,9.082999999999998,5.618999999999999,10,1785,7.350999999999999
1785-11-01,2.261,7.787000000000001,3.265,11,1785,5.526
1785-12-01,1.909,3.782,-0.03600000000000003,12,1785,1.8730000000000002
1786-01-01,2.436,3.199,-1.6729999999999998,1,1786,0.7630000000000001
1786-02-01,2.463,5.12,0.19399999999999995,2,1786,2.657
1786-03-01,2.27,7.917999999999998,3.378,3,1786,5.648
1786-04-01,3.079,12.396999999999998,6.239,4,1786,9.318
1786-05-01,2.387,13.97,9.195999999999998,5,1786,11.582999999999998
1786-06-01,1.295,14.33,11.74,6,1786,13.035
1786-07-01,2.311,17.605,12.982999999999999,7,1786,15.294
1786-08-01,3.35,17.805,11.105,8,1786,14.455
1786-09-01,2.9330000000000003,15.091,9.225,9,1786,12.158
