Datetime,month,Year,Decade_SMA,Global_Warming,Yearly_SMA_Solid_Fuel,Yearly_SMA_Gas_Fuel,Yearly_SMA_Cement,Yearly_SMA_Gas_Flaring,Yearly_SMA_Per_Capita,Yearly_SMA_Liquid_Fuel,Yearly_SMA_CarbonTotal,Average_Temps
1983-10-01,10,1983,8.760449999999992,1,1994.5,740.8333333333335,124.33333333333331,59.0,1.0933333333333322,2179.333333333333,5097.166666666667,9.478
1983-11-01,11,1983,8.76497499999999,1,1994.75,740.9166666666665,124.66666666666669,58.5,1.0916666666666652,2177.6666666666665,5095.583333333333,6.7650000000000015
1983-12-01,12,1983,8.764949999999992,1,1995.0,741.0,125.0,58.0,1.0899999999999987,2176.0,5094.0,3.829
1984-01-01,1,1984,8.770616666666657,1,2003.25,746.5833333333335,125.25,57.41666666666666,1.0916666666666652,2177.9166666666665,5109.5,2.9410000000000003
1984-02-01,2,1984,8.77487499999999,1,2011.5,752.1666666666665,125.5,56.83333333333334,1.0933333333333322,2179.833333333333,5125.0,3.093
1984-03-01,3,1984,8.778883333333324,1,2019.75,757.75,125.75,56.25,1.0949999999999986,2181.75,5140.5,5.671
1984-04-01,4,1984,8.77926666666666,1,2028.0,763.3333333333335,126.0,55.66666666666666,1.0966666666666651,2183.6666666666665,5156.0,8.431999999999999
1984-05-01,5,1984,8.785749999999991,1,2036.25,768.9166666666665,126.25,55.08333333333334,1.0983333333333318,2185.583333333333,5171.5,11.976
1984-06-01,6,1984,8.785791666666658,1,2044.5,774.5,126.5,54.5,1.0999999999999983,2187.5,5187.0,13.387
1984-07-01,7,1984,8.786966666666657,1,2052.75,780.0833333333335,126.75,53.91666666666666,1.101666666666665,2189.4166666666665,5202.5,14.429
1984-08-01,8,1984,8.786699999999987,1,2061.0,785.6666666666665,127.0,53.33333333333334,1.1033333333333315,2191.333333333333,5218.0,13.984000000000002
1984-09-01,9,1984,8.788958333333321,1,2069.25,791.25,127.25,52.75,1.1049999999999984,2193.25,5233.5,12.015
1984-10-01,10,1984,8.791291666666657,1,2077.5,796.8333333333335,127.5,52.16666666666666,1.1066666666666651,2195.1666666666665,5249.0,9.378
1984-11-01,11,1984,8.79042499999999,1,2085.75,802.4166666666665,127.75,51.58333333333334,1.1083333333333316,2197.083333333333,5264.5,5.811
1984-12-01,12,1984,8.787383333333322,1,2094.0,808.0,128.0,51.0,1.1099999999999983,2199.0,5280.0,3.185
1985-01-01,1,1985,8.786974999999991,1,2105.9166666666665,810.4166666666665,128.25,50.83333333333334,1.1108333333333318,2197.9166666666665,5293.25,3.01
1985-02-01,2,1985,8.781216666666657,1,2117.833333333333,812.8333333333335,128.5,50.66666666666666,1.1116666666666652,2196.833333333333,5306.5,2.704
1985-03-01,3,1985,8.779091666666657,1,2129.75,815.25,128.75,50.5,1.1124999999999987,2195.75,5319.75,5.4510000000000005
1985-04-01,4,1985,8.77949999999999,1,2141.6666666666665,817.6666666666665,129.0,50.33333333333334,1.1133333333333322,2194.6666666666665,5333.0,8.633
1985-05-01,5,1985,8.776866666666656,1,2153.583333333333,820.0833333333335,129.25,50.16666666666666,1.1141666666666656,2193.583333333333,5346.25,11.425999999999998
1985-06-01,6,1985,8.776966666666656,1,2165.5,822.5,129.5,50.0,1.1149999999999989,2192.5,5359.5,13.569
1985-07-01,7,1985,8.773816666666653,1,2177.4166666666665,824.9166666666665,129.75,49.83333333333334,1.1158333333333326,2191.4166666666665,5372.75,13.972999999999999
1985-08-01,8,1985,8.778358333333323,1,2189.333333333333,827.3333333333335,130.0,49.66666666666666,1.116666666666666,2190.333333333333,5386.0,14.059000000000001
1985-09-01,9,1985,8.776924999999986,1,2201.25,829.75,130.25,49.5,1.1174999999999995,2189.25,5399.25,11.98
1985-10-01,10,1985,8.777091666666655,1,2213.1666666666665,832.1666666666665,130.5,49.33333333333334,1.118333333333333,2188.1666666666665,5412.5,9.338
1985-11-01,11,1985,8.777716666666656,1,2225.083333333333,834.5833333333335,130.75,49.16666666666666,1.1191666666666664,2187.083333333333,5425.75,5.968
1985-12-01,12,1985,8.77869999999999,1,2237.0,837.0,131.0,49.0,1.12,2186.0,5439.0,3.785
1986-01-01,1,1986,8.782291666666657,1,2242.25,836.5,131.5,48.75,1.1216666666666664,2194.9166666666665,5453.0,3.315
1986-02-01,2,1986,8.790291666666656,1,2247.5,836.0,132.0,48.5,1.123333333333333,2203.833333333333,5467.0,3.991
1986-03-01,3,1986,8.800608333333324,1,2252.75,835.5,132.5,48.25,1.1249999999999998,2212.75,5481.0,5.755
1986-04-01,4,1986,8.805416666666657,1,2258.0,835.0,133.0,48.0,1.1266666666666665,2221.6666666666665,5495.0,8.870999999999997
1986-05-01,5,1986,8.810741666666656,1,2263.25,834.5,133.5,47.75,1.128333333333333,2230.583333333333,5509.0,11.581
1986-06-01,6,1986,8.813683333333325,1,2268.5,834.0,134.0,47.5,1.1299999999999997,2239.5,5523.0,13.439
1986-07-01,7,1986,8.814833333333324,1,2273.75,833.5,134.5,47.25,1.1316666666666662,2248.4166666666665,5537.0,14.293
1986-08-01,8,1986,8.81867499999999,1,2279.0,833.0,135.0,47.0,1.1333333333333329,2257.333333333333,5551.0,13.972000000000001
1986-09-01,9,1986,8.81802499999999,1,2284.25,832.5,135.5,46.75,1.1349999999999996,2266.25,5565.0,11.816999999999998
1986-10-01,10,1986,8.824591666666658,1,2289.5,832.0,136.0,46.5,1.136666666666666,2275.1666666666665,5579.0,9.299
1986-11-01,11,1986,8.826749999999992,1,2294.75,831.5,136.5,46.25,1.1383333333333328,2284.083333333333,5593.0,5.9190000000000005
1986-12-01,12,1986,8.827333333333321,1,2300.0,831.0,137.0,46.0,1.1399999999999997,2293.0,5607.0,3.7510000000000003
1987-01-01,1,1987,8.832724999999991,1,2305.333333333333,836.25,137.5,45.83333333333334,1.1408333333333327,2294.083333333333,5619.083333333332,3.139
1987-02-01,2,1987,8.83824999999999,1,2310.6666666666665,841.5,138.0,45.66666666666666,1.141666666666666,2295.1666666666665,5631.166666666668,4.1339999999999995
1987-03-01,3,1987,8.834441666666656,1,2316.0,846.75,138.5,45.5,1.1424999999999994,2296.25,5643.25,5.245
