Datetime,month,Year,Decade_SMA,Global_Warming,Yearly_SMA_Solid_Fuel,Yearly_SMA_Gas_Fuel,Yearly_SMA_Cement,Yearly_SMA_Gas_Flaring,Yearly_SMA_Per_Capita,Yearly_SMA_Liquid_Fuel,Yearly_SMA_CarbonTotal
1920-11-01,11,1920,8.294883333333326,1,834.0,10.916666666666666,0.0,0.0,0.0,76.58333333333333,921.5
1920-12-01,12,1920,8.294424999999991,1,843.0,11.0,0.0,0.0,0.0,78.0,932.0
1921-01-01,1,1921,8.305424999999993,1,831.8333333333334,10.916666666666666,0.0,0.0,0.0,78.5,921.25
1921-02-01,2,1921,8.311024999999994,1,820.6666666666666,10.833333333333334,0.0,0.0,0.0,79.0,910.5
1921-03-01,3,1921,8.31714166666666,1,809.5,10.75,0.0,0.0,0.0,79.5,899.75
1921-04-01,4,1921,8.319924999999992,1,798.3333333333334,10.666666666666666,0.0,0.0,0.0,80.0,889.0
1921-05-01,5,1921,8.32339166666666,1,787.1666666666666,10.583333333333334,0.0,0.0,0.0,80.5,878.25
1921-06-01,6,1921,8.326983333333327,1,776.0,10.5,0.0,0.0,0.0,81.0,867.5
1921-07-01,7,1921,8.329933333333326,1,764.8333333333334,10.416666666666666,0.0,0.0,0.0,81.5,856.75
1921-08-01,8,1921,8.330449999999994,1,753.6666666666666,10.333333333333334,0.0,0.0,0.0,82.0,846.0
1921-09-01,9,1921,8.332374999999994,1,742.5,10.25,0.0,0.0,0.0,82.5,835.25
1921-10-01,10,1921,8.332383333333327,1,731.3333333333334,10.166666666666666,0.0,0.0,0.0,83.0,824.5
1921-11-01,11,1921,8.331549999999995,1,720.1666666666666,10.083333333333334,0.0,0.0,0.0,83.5,813.75
1921-12-01,12,1921,8.333824999999994,1,709.0,10.0,0.0,0.0,0.0,84.0,803.0
1922-01-01,1,1922,8.331724999999992,1,711.5833333333334,10.083333333333334,0.0,0.0,0.0,84.83333333333333,806.5
1922-02-01,2,1922,8.323574999999991,1,714.1666666666666,10.166666666666666,0.0,0.0,0.0,85.66666666666667,810.0
1922-03-01,3,1922,8.330241666666659,1,716.75,10.25,0.0,0.0,0.0,86.5,813.5
1922-04-01,4,1922,8.331499999999991,1,719.3333333333334,10.333333333333334,0.0,0.0,0.0,87.33333333333333,817.0
1922-05-01,5,1922,8.330191666666659,1,721.9166666666666,10.416666666666666,0.0,0.0,0.0,88.16666666666667,820.5
1922-06-01,6,1922,8.329324999999992,1,724.5,10.5,0.0,0.0,0.0,89.0,824.0
1922-07-01,7,1922,8.33394999999999,1,727.0833333333334,10.583333333333334,0.0,0.0,0.0,89.83333333333333,827.5
1922-08-01,8,1922,8.338374999999992,1,729.6666666666666,10.666666666666666,0.0,0.0,0.0,90.66666666666667,831.0
1922-09-01,9,1922,8.342983333333327,1,732.25,10.75,0.0,0.0,0.0,91.5,834.5
1922-10-01,10,1922,8.348724999999991,1,734.8333333333334,10.833333333333334,0.0,0.0,0.0,92.33333333333333,838.0
1922-11-01,11,1922,8.353099999999994,1,737.4166666666666,10.916666666666666,0.0,0.0,0.0,93.16666666666667,841.5
1922-12-01,12,1922,8.358083333333326,1,740.0,11.0,0.0,0.0,0.0,94.0,845.0
1923-01-01,1,1923,8.361449999999994,1,748.75,11.25,0.0,0.0,0.0,95.41666666666667,855.4166666666666
1923-02-01,2,1923,8.363008333333326,1,757.5,11.5,0.0,0.0,0.0,96.83333333333333,865.8333333333334
1923-03-01,3,1923,8.36591666666666,1,766.25,11.75,0.0,0.0,0.0,98.25,876.25
1923-04-01,4,1923,8.363633333333327,1,775.0,12.0,0.0,0.0,0.0,99.66666666666667,886.6666666666666
1923-05-01,5,1923,8.364499999999994,1,783.75,12.25,0.0,0.0,0.0,101.08333333333333,897.0833333333334
1923-06-01,6,1923,8.366924999999995,1,792.5,12.5,0.0,0.0,0.0,102.5,907.5
1923-07-01,7,1923,8.365649999999995,1,801.25,12.75,0.0,0.0,0.0,103.91666666666667,917.9166666666666
1923-08-01,8,1923,8.364708333333331,1,810.0,13.0,0.0,0.0,0.0,105.33333333333333,928.3333333333334
1923-09-01,9,1923,8.365741666666661,1,818.75,13.25,0.0,0.0,0.0,106.75,938.75
1923-10-01,10,1923,8.369433333333326,1,827.5,13.5,0.0,0.0,0.0,108.16666666666667,949.1666666666666
1923-11-01,11,1923,8.372383333333326,1,836.25,13.75,0.0,0.0,0.0,109.58333333333333,959.5833333333334
1923-12-01,12,1923,8.370524999999995,1,845.0,14.0,0.0,0.0,0.0,111.0,970.0
1924-01-01,1,1924,8.36188333333333,1,844.25,14.166666666666666,0.0,0.0,0.0,110.91666666666667,969.4166666666666
1924-02-01,2,1924,8.35928333333333,1,843.5,14.333333333333334,0.0,0.0,0.0,110.83333333333333,968.8333333333334
1924-03-01,3,1924,8.362699999999998,1,842.75,14.5,0.0,0.0,0.0,110.75,968.25
1924-04-01,4,1924,8.36163333333333,1,842.0,14.666666666666666,0.0,0.0,0.0,110.66666666666667,967.6666666666666
1924-05-01,5,1924,8.360824999999998,1,841.25,14.833333333333334,0.0,0.0,0.0,110.58333333333333,967.0833333333334
1924-06-01,6,1924,8.359541666666663,1,840.5,15.0,0.0,0.0,0.0,110.5,966.5
